Classes For Year,2021
Class,21CLC04
No, Student_ID, SocialID, FirstName, LastName, Gender, Dateofbirth
1,21127000,26868317,Bao,Nguyen,male,99/99/1999
2,21127001,10406725,Quoc,Cao,male,55/55/1555
Class,21CLC02
No, Student_ID, SocialID, FirstName, LastName, Gender, Dateofbirth
1,21127000,26868317,Bao,Nguyen,male,99/99/1999
2,21127001,10406725,Quoc,Cao,male,55/55/1555
Classes For Year,2022
Class,21CLC04
No, Student_ID, SocialID, FirstName, LastName, Gender, Dateofbirth
1,21127000,26868317,Bao,Nguyen,male,99/99/19992,21127001,10406725,Quoc,Cao,male,55/55/1555Class,21CLC02
No, Student_ID, SocialID, FirstName, LastName, Gender, Dateofbirth
1,21127000,26868317,Bao,Nguyen,male,99/99/19992,21127001,10406725,Quoc,Cao,male,55/55/1555
